,195,,,,,,,,Indicador 1,,,,Indicador 2,,,,,Indicador 1,,,,Indicador 2,,,,,Indicador 1,,,,Indicador 2,,,,,Indicador 1,,,,,Indicador 1,,,,,Indicador 1,,,,,Indicador 1,,,,HITO 1,,,HITO 2,,,HITO 3,,,HITO 4,,,HITO 5,,,HITO 6,,,HITO 7,,,HITO 8,,,HITO 9,,,Medio Verificación 1,,,,,,Medio_verificacion_2,,,,,Medio Verificación 3,,,,,Medio_verificacion_4,,,,,Medio_verificacion_5,,,,,Medio Verificación 6,,,,,,,Medio Verificación 7,,,,,,
DAC,DAC-15,EPRE,Internacionalización del curriculum,Identificar y validar estrategias  que permitan avanzar en la internacionalización del curriculum,Desarrollo," $2,100,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Modelamiento de internacionalización del curriculum,Identificados estrategias para internacionalización del curriculum,jun-22,Formalización estrategia,Validada y formalizada estrategia para internacionalización del curriculum,dic-22,,,,,,,,,,,,,,,,,,,,,,Propuesta de estrategias para internacionalización del curriculum,Identifica los lineamientos sugeridos para avanzar en la internacionalización del curriculum,Da cuenta de los componentes y dimensiones que pueden ser intervenidos o ajustados para avanzar en la  internacionalización,Identifica los requerimientos de apoyo o de articulación por parte de otras direcciones o unidades de la Universidad para avanzar en esta estrategia,"Propone una plan de implementación para aplicación de estrategias, considerando el año 2023.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAC,DAC-16,EPRE,Desarrollo área de trabajo formación transversal ,Levantar los insumos necesarios para el desarrollo de la docencia anual y d las actividades académicas relacionadas a formación transversal.,Desarrollo," $5,500,000 ",,Sistematizar  la aplicación de los instrumentos de levantamiento información de formación transversal.,Análisis  de los antecedentes de formación transversal ,(Número de instrumentos aplicados/Número total de instrumentos) x 100,100%,Planilla con los resultados sistematizados ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aplicado Diagnóstico institucional formación transversal,"Levantado y socializado un diagnóstico institucional respecto a las iniciativas que se han desarrollado en materia de formación transversal, para generar una línea base del área.",ene-22,Diseñado los Lineamientos implementación oferta académica formación transversal.,Generados y socializados los lineamientos para la implementación de la oferta académica de Formación Transversal.,ene-22,Diseñada  acciones formación docente formación transversal,Diseñadas acciones de formación docente conducentes a incorporar prácticas asociadas a formación transversal.,sep-22,Diseñada Estrategia instalación nuevas capacidades,Levantada estrategia para la instalación de nuevas capacidades que permitan dar soporte al área de formación transversal.,dic-22,Aplicado  test de diagnóstico de inglés estudiantes de pregrado,Aplicado tests de diagnóstico inglés estudiantes de pregrado,dic-22,"Realizado Concurso literario ""Patagonia en 100 palabras"" ","Desarrollado e implementado concurso literario ""Patagonia 100 palabras"" ",jun-22,Realizada Semana del Inglés,Planificadas y realizadas actividades relacionadas con la semana del inglés,jun-22,Realizada Jornada reflexión formación transversal,Implementada jornada de reflexión de formación transversales con 2 profesionales responsables de área en su institución respectiva.,sep-22,Conformado equipo docente de formación transversal,Fortalecimiento del equipo docente del área de formación transversal,mar-22,Documentos de trabajo para la implementación de cursos de formación transversal,Diseño de documentos ,propuesta de implementación de los cursos ,,,,Informe de actividades realizadas,Estudiantes inscritos en las diferentes actividades,Descripción  de encuesta de satisfacción de actividades según corresponda,,,Informe resultados diagnóstico,Resultados del diagnóstico,participación ,,,"Informe concurso literario ""Patagonia 100 palabras""",Bases,Resultado nómina cuentos ganadores,Divulgación cuentos ganadores,,,,,,,,,,,,,,,,,,,,
DAC,DAC-17,EPRE,Desarrollo /diseño de Programa  en apoyo al fortalecimiento del idioma inglés en  académicos y funcionarios.,Fortalecer el dominio del idioma inglés en académicos y funcionarios de acuerdo a sus necesidades personales y profesionales.,Desarrollo, $- ,,Seguimiento del programa de inglés ,Planificación programa académico semestral,(Talleres y cursos programados/ talleres y cursos ejecutados) *100,100%,Informe de los talleres ,,,,,Acciones de apoyo a los docentes de inglés,Actividades de perfeccionamiento a docentes de inglés,Número de actividades realizadas,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diseñada y ejecutada encuesta ,Levantamiento de necesidades concretas de académicos y funcionarios.,abr-22,Diseñados cursos y talleres  2° semestre,Talleres y actividades ejecutadas,nov-22,,,,,,,,,,,,,,,,,,,,,,Informe consolidado del programa de inglés ,Incluye resultados de encuesta,Programa de actividades realizadas,Encuesta de satisfacción a los participantes  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAC,DAC-18,DE,Implementación y seguimiento del proceso de becas,Ofrecer soporte y realizar acciones tendientes al acceso a becas estudiantiles para apoyar su proceso formativo.,Misional," $157,000,000 ",,Seguimiento becas y créditos externos,Gestiones asociadas al seguimiento de becas y créditos externos,(Número de gestiones realizadas / Número total de gestiones solicitadas)*100,90%,Informe de Becas y Créditos externos,,,,,Gestión becas internas,Gestiones asociadas a becas internas,Número de gestiones realizadas / Número total de gestiones solicitadas,90%,Informe de Becas Internas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elaborado reglamento Becas Universidad de Aysén,Reglamento Becas Universidad de Aysén decretado,jun-22,Desarrollada difusión de los procesos asociados a becas internas y externas,Campaña publicitaria Becas estudiantiles,mar-22,Levantado sistema de gestión de becas,Diseñado Sistema de Gestión de Becas,ago-22,,,,,,,,,,,,,,,,,,,Informe consolidado gestión de becas,Número de solicitudes con % de beca ,acta de resultado de becas ,Número de sesiones de la comisión ,integrantes de la comisión ,,Reglamento Becas Universidad de Aysén,criterios unificados para becas ,integrantes de la comisión ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAC,DAC-19,DE,Gestión de Servicios Estudiantiles,Implementación y monitoreo de las estrategias y acciones relacionados con la gestión de servicios estudiantiles ,Desarrollo," $40,900,000 ",, Implementación y monitereo de las estrategias de salud mental,Estrategias de salud mental realizadas,(Número de acciones realizadas / Número de acciones planificadas)*100,80%,Informe de Estrategias de Salud Mental,,,,,Implementación y monitoreo de las actividades extraprogramáticas,Actividades Extraprogramáticas,Número de actividades extraprogramáticas realizadas / Número de actividades extraprogramáticas planificadas,75%,Programa Semestral de Actividades Extraprogramáticas / Planillas de asistencia,,,,,Implementación de la Unidad de Cuidados,Gestiones asociadas a la implementación de la Unidad de Cuidados,Número de gestiones realizadas / Número de gestiones planificadas,75%,Plan de trabajo anual Unidad de Cuidados / Informe Unidad de Cuidados,,,,,Seguimiento a las solicitudes estudiantiles,Seguimiento a las solicitudes estudiantiles,(Número de solicitudes estudiantiles gestionadas / Número de solicitudes estudiantiles recibidas)*100,75%,Formulario digital de solicitudes,,,,,,,,,,,,,,,, Diseñada Estrategias de salud mental ,Plan Anual de Estrategias de Salud Mental,mar-22, Implementada Oferta de actividades extraprogramáticas 1° semestre,Oferta Actividades Extraprogramáticas 1° semestre,mar-22, Implementada Oferta de actividades extraprogramáticas 2° semestre,Oferta Actividades Extraprogramáticas 2° semestre,ago-22,Implementado un menú saludable y accesible económicamente para los estudiantes en al menos un a cafetería de la universidad,Menú saludable y accesible económicamente para los estudiantes,jul-22,Diseñado plan anual de la Unidad de Cuidados ,Plan anual diseñado ,mar-22,Desarrollada difusión de los procesos asociados a servicios estudiantiles 1° semestre,Campaña publicitaria Servicios estudiantiles,mar-22,Desarrollada difusión de los procesos asociados a servicios estudiantiles 2° semestre,Campaña publicitaria Servicios estudiantiles,ago-22,propiciar 2 encuentros de estudiantes de todas las carreras que faciliten instancias de diálogo y acuerdos para la construcción de sus organizaciones.,,,,,,Informe consolidado de la implementación de servicios estudiantiles,detalle de SSEE,número de beneficiarios ,recursos asociados a los SSEE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAC,DAC-20,DE,Gestión de acciones de Desarrollo estudiantil y Apoyo a la Asociatividad Estudiantil,Implementación y gestión  de mecanismos de apoyo y acciones de desarrollo de  participación del estamento estudiantil en la gobernanza institucional,Misional," $14,500,000 ",,Implementar plan de apoyo a la asociatividad estudiantil,Acciones asociadas a la asociatividad estudiantil realizadas,(Número de acciones realizadas / Número de acciones planificadas)*100,75%,Informe Plan de apoyo a la asociatividad estudiantil,,,,,Gestión y acompañamiento en el desarrollo de proyectos estudiantiles,Proyectos estudiantiles,Número de proyectos estudiantiles seleccionados,5,Documento que informa la selección del proyecto,,,,,Gestión y acompañamiento en actividades de desarrollo universitario,Actividades de desarrollo universitario,Número de actividades planificadas e implementadas,2,Informe de la actividad desarrollada,,,,,,,,,,,,,,,,,,,,,,,,, Implementadas estrategias de acompañamiento a la asociatividad estudiantil,Diseño de un plan anual de apoyo a la asociatividad estudiantil,abr-22,Elaborado reglamento proyectos concursables,Reglamento Proyectos Concursables decretado,may-22,Diseñada Oferta de proyectos concursables internos,Lanzamiento Concurso Proyectos Concursables Estudiantiles,jun-22,Realizada la Difusión de los procesos asociados a proyectos concursables,Campaña publicitaria Proyectos concursables,jun-22,,,,,,,Estrategia Diseñada ,Diseñar estrategia educativa de  promoción del valor e importancia de la gobernanza del estamento estudiantil,abr-22,realizada difusión ,Difundir  por los canales formales e informales con los estudiantes  una campaña educativa del valor e importancia de la gobernanza del estamento estudiantil,may-22,,,,Informe Plan de apoyo a la asociatividad estudiantil,Planificación de las actividades ,indicadores de participación ,recursos asociados a las actividades ,resultado de encuestas ,,Informe consolidado de las acciones desarrolladas para el desarrollo universitario de los estudiantes,Proceso de selección de proyectos,Proceso de acompañamiento en acciones de desarrollo universitario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAC,DAC-21,EPYFC,Monitoreo a potenciales estudiantes de educación continua,Monitorear potenciales estudiantes de programas de educación continua.,Misional, $- ,,Monitorear estudiantes que están realizando programas de educación continua,Encuesta  estudiantes de educación continua,Número de encuestas aplicadas ,40,registro de estudiantes que han cursado programas de educación continua.,,,,,Gestionar desarrollo de encuestas de satisfacción a estudiantes respecto de programas de educación continua,Evaluación de satisfacción de programas de educación continua,Número de encuestas evaluadas ,40,Encuestas de satisfacción ,,,,,seguimiento y evaluación de programas ejecutados,seguimiento y evaluación de programas ejecutados,Número de diplomados ejecutados/ estudiantes aprobados/ estudiantes matriculados,3,Informe de seguimiento y evaluación,,,,,,,,,,,,,,,,,,,,,,,,,Realizado Seguimiento y evaluación de los estudiantes egresados de diplomados de educación continua,informe de seguimiento y evaluación,dic-22,,,,,,,,,,,,,,,,,,,,,,,,,Informe de avance del proyecto URY 1999 obj 2 ,Resultados del objetivo 2,mdv ofrecido en el proyecto ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAC,DAC-22,EPYFC,Implementación de la oferta anual de educación continua,Implementar la oferta anual 2022 de programas de Educación Continua. ,Misional, $- ,,Realizar priorización de demanda de educación continua,establecer una jerarquía asociada a los resultados de la priorización.,Resultado encuesta de la demanda educación continua,1,Informe en el que se defina la priorización,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diseñada y validada la normativa de educación continua,Decretos: Reglamento de Educación Continua.,may-22,Priorizada oferta de educación continua,priorizar la oferta de postgrado en relación a los resultados de la encuesta de educación continua,abr-22,Diseñados programas 1er semestre 2022 sobre lineamientos institucionales,acompañar a equipos de diseño para presentar una propuesta de diplomado por depto.,abr-22,Diseñados programas 2do semestre 2022 sobre lineamientos institucionales,acompañar el proceso de diseño para presentar una propuesta de diplomado por depto.,ago-22,Ejecutados programas educación continua 2022,decretar y ejecutar diplomados de educación continua,dic-22,Difusión diplomados y cursos de educación continua,difundir a través de medio de comunicación regional los diplomados y cursos para 2do semestre,jun-22,,,,,,,,,,Informe anual de la implementación de la oferta de Programas de Educación Continua,Planificación de la oferta ,implementación de la oferta ,participantes ,resultados de encuestas,difusión de la oferta ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAC,DAC-23,DAC,Consolidación de la Movilidad Estudiantil,Desarrollar mecanismos e implementar actividades que permitan consolidar la movilidad estudiantil en la institución,Misional, $- ,,Seguimiento de estudiantes beneficiados con movilidad,Registro y monitoreo de los estudiantes en movilidad ,Número de estudiantes que realizaron movilidad en el periodo académico,10,Actas de aceptación de la movilidad - Planilla de estudiantes según tipo de movilidad - Informe de seguimiento de estudiantes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Piloteados y evaluados los mecanismos para el desarrollo de actividades de movilidad estudiantil emergentes,Informe de resultados del pilotaje,ene-22,"Diseñado el reglamento de movilidad estudiantil de pre y postgrado, nacional e internacional",Diseñada la propuesta de reglamento de movilidad estudiantil,mar-22,"Formalizado el reglamento de movilidad estudiantil de pre y postgrado, nacional e internacional",Reglamento de movilidad estudiantil decretado,may-22,Definido y difundido el proceso de gestión interna de la movilidad nacional CUECH ,Documento que identifique los procesos claves asociados al programa de movilidad nacional CUECH,jun-22,Elaborado e implementado  programa de capacitación para directores de departamento y jefes de carrera  como agentes centrales del proceso de movilidad,Informe de ejecución del programa de capacitación,ago-22,Diseñado e implementado un mecanismo de acompañamiento a los estudiantes en movilidad ,Informe del mecanismo de acompañamiento ,sep-22,Generado e implementado un modelo de evaluación de la movilidad que permita a los estudiantes participantes valorar las dimensiones más relevantes del programa,Informe de evaluación del programa de movilidad ,dic-22,,,,,,,Informe de resultados del pilotaje,Informe simple que indica principales resultados de la aplicación de los mecanismos,Debe indicar los elementos que resultan exitosos,Debe indicar los elementos que no lograron implementarse según lo esperado,"Debe incorporar un plan de mejora simple para el siguiente periodo, tanto sobre los mecanismos normativos como operativos",,Informe implementación programa de movilidad,Informe a acciones de difusión,Resultados de la implementación del programa,Descripción y resultados del proceso de acompañamiento a estudiantes,Evaluación proceso de movilidad ,Reglamento de movilidad estudiantil decretado,"Reglamento debe  dar cuenta de los procesos normalizados previamente, definiendolos e integrándose a la normativa",Reglamento debe reflejar coherencia con el modelo educativo de la institución y con otras normativas vigentes de la institución,"Reglamento debe englobar las principales dimensiones de las distintas áreas de la movilidad (nacional, internacional, de pregrado y postgrado).",,Documento que identifique los procesos claves asociados al programa de movilidad nacional CUECH,"Debe especificar las principales acciones y elementos procedimentales para estandarizar el proceso y generar un calendario específico para todas las actividades académicas que considera la movilidad, como también para las carreras y unidades participantes. ","Debe considerar la definición de etapas, actores participantes y plazos,  para la consolidación de la oferta académica en movilidad, para su difusión, para la postulación, selección de estudiantes ","Debe considerar la definición de etapas, actores participantes, mecanismos de acompañamiento, instrumentos a aplicar y plazos del inicio, desarrollo y finalización de la movilidad.",Debe ser difundida y socializada con las unidades académicas y administrativas pertinentes.,Informe de ejecución del programa,"Documento detallado que especifica el programa de capacitación, participantes, objetivo general y específicos, módulos, contenidos y modalidad.",Debe contener un plan de difusión del programa de capacitación,Debe incorporar la asistencia de los participantes y cualquier registro que dé cuenta del desarrollo del programa de capacitación,Debe especificar la evaluación de los participantes y aspectos de mejora,Informe del mecanismo de acompañamiento a los estudiantes en proceso de movilidad,"Debe identificar etapas de seguimiento, instrumentos y vías utilizadas para implementar oportunamente estrategias de acompañamiento a los estudiantes en proceso de movilidad","Debe incorporar análisis que clasifique actividades compiladas según su naturaleza, contribución, impacto identificado, percepción estudiantil y otras variables pertinentes al área",Considerar unidades y/o equipos participantes en su elaboración e implementación como también una estrecha vinculación cuando se trate de movilidades internacionales o de postgrado,"Presentado en formato de informe y/o compilación de datos según conveniencia, que de cuenta de los principales resultados de la aplicación de las estrategias",Debe incorporar un plan de mejora para el siguiente periodo,,Informe de evaluación del proceso anual de movilidad estudiantil,"Detalle estructural de los tipos de movilidad realizada, el número de estudiantes que realizaron movilidad (internos y externos) y la especificación de los elementos iniciales más relevantes como las carreras impactadas, universidades vinculadas, modalidades, financiamientos, entre otros.","Debe contener información cuantitativa respecto a calificaciones, tasas de aprobación y otros indicadores relevantes",Debe contener información cualitativa derivada de los instrumentos de evaluación que se apliquen a los estudiantes (Encuesta de expectativas y Encuesta de satisfacción) y que permita evaluar la experiencia en torno a la contribución al aprendizaje y a la satisfacción con la movilidad realizada.,"Debe dar cuenta de los beneficios obtenidos para los estudiantes y académicos vinculados al proceso de movilidad en términos de las experiencias para el desarrollo personal y académico, al acceso de recursos y a cualquier otro que las universidades de destino hayan ofrecido.",Indicar las prácticas exitosas como también las complejidades evidenciadas en el proceso de movilidad y los elementos que no generaron un resultado esperado,"Debe incorporar un plan de mejora para el siguiente periodo, en torno a los mecanismos normativos u operativos, según corresponda."
DAC,DAC-24,EPRE,"Institucionalización de mecanismos de articulación de la docencia con vinculación con el medio, la investigación y la internacionalización",Implementar y formalizar mecanismos que consoliden las estrategias de articulación de la docencia con otras áreas de la institución,Desarrollo, $- ,SI,"Levantar información sobre actividades de articulación entre docencia y VcM, investigación e internacionalización",Actividades de articulación,Número de actividades,1,Informe de articulación,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Diseñados los mecanismos operativos para promover la articulación entre la docencia y la investigación, la VcM y la internacionalización","Diseño de flujogramas y manuales operativos (protocolos, fichas, repositorio)",may-22,"Piloteados los mecanismos operativos promover la articulación entre la docencia y la investigación, la VcM y la internacionalización","Pilotaje de flujogramas, manuales (protocolos, fichas, repositorios). ",sep-22,"Evaluados los mecanismos operativos para promover la articulación entre la docencia y la investigación, la VcM y la internacionalización","evaluación del flujograma, manual operativo (protocolos, fichas, repositorios)",nov-22,,,,,,,,,,,,,,,,,,,reporte anual de los mecanismos  y estrategias de articulación de la docencia ,Debe contener detalle y definiciones de los mecanismos definidos ,Debe incluir los avance de los compromisos ,DEbe incluir proyecciones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAC,DAC-25,DA,Planificación académica ,Sistematizar la información asociada a la planificación de las actividades del cuerpo académico para el año 2022,Misional, $- ,,Sistematización de la planificación anual entregada por el  cuerpo académico ,Sistematización de la planificación anual entregada ,(Número de las actividades planificadas entregadas /Número de las actividades de planificación sistematizada )*100,100%,Reporte de la sistematización de la planificación académica anual ,,,,,,Acciones institucionales con impacto en el cuerpo académico ,número de actividades realizadas en el ámbito del Desarrollo académico y fortalecen el cuerpo académico ,6,"Reporte anual de actividades en el ámbito de desarrollo académico, incluyendo resultados cuantitativos de impacto sobre fortalecimiento del cuerpo académico, emitido por la DAC ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Revisados y actualizados los mecanismos para la construcción de la planificación anual del cuerpo académico,"Actualizar , revisar y modificar  los mecanismos de construcción para la planificación del cuerpo académico ",jun-22,Levantada y sistematizada la información de la planificación anual del cuerpo académico,Validada propuestas de planificación Anual 2022 por directores de departamento,abr-22,Formalizada la planificación anual del cuerpo académico,Validada planificación anual ,jun-22,,,,,,,,,,,,,,,,,,,Decreto de la planificación Anual del cuerpo académico,Debe contener planificación del 1° semestre ,Debe contener planificación del 2° semestre ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
